ANTALL,STATUS_KODE,REGISTRERT
26,AVVIST,2018-06-27
15193,OK,2018-10-08
9658,OK,2018-10-19
2399,MANUELL BEHANDLING,2018-10-18
12032,OK,2018-03-06
5410,OK,2019-07-12
8238,OK,2019-07-22
254,OK,2018-03-11
117,MANUELL BEHANDLING,2018-01-28
84,MANUELL BEHANDLING,2019-03-16
302,OK,2019-03-17
9702,OK,2018-09-04
2891,MANUELL BEHANDLING,2018-09-03
2542,MANUELL BEHANDLING,2018-09-11
2277,MANUELL BEHANDLING,2018-09-12
8393,OK,2018-09-05
8755,OK,2018-09-06
95,AVVIST,2018-09-17
2,AVVIST,2018-12-23
2947,MANUELL BEHANDLING,2019-03-01
11106,OK,2019-03-07
3525,MANUELL BEHANDLING,2018-02-01
59,AVVIST,2018-06-04
44,AVVIST,2018-06-20
81,AVVIST,2019-04-30
3549,MANUELL BEHANDLING,2019-04-24
3487,MANUELL BEHANDLING,2019-04-29
20048,OK,2018-02-05
5899,OK,2018-08-02
1283,MANUELL BEHANDLING,2018-07-25
16251,OK,2019-05-20
10481,OK,2019-05-21
68,AVVIST,2019-05-20
7696,OK,2018-08-23
29,AVVIST,2018-08-23
2363,MANUELL BEHANDLING,2018-10-25
2891,MANUELL BEHANDLING,2018-11-01
11195,OK,2018-11-27
20180,OK,2019-01-02
91,AVVIST,2019-01-03
7099,OK,2019-08-01
1885,MANUELL BEHANDLING,2019-07-31
62,MANUELL BEHANDLING,2018-07-29
22,AVVIST,2018-07-26
60,AVVIST,2019-03-14
9230,OK,2019-06-20
14340,OK,2019-06-17
43,AVVIST,2019-01-16
22,AVVIST,2019-07-19
3359,MANUELL BEHANDLING,2018-03-01
46,AVVIST,2018-03-02
66,AVVIST,2019-05-27
9944,OK,2019-05-31
135,MANUELL BEHANDLING,2019-06-02
2522,MANUELL BEHANDLING,2018-08-14
2659,MANUELL BEHANDLING,2018-12-05
9716,OK,2019-01-25
3208,MANUELL BEHANDLING,2019-01-30
58,AVVIST,2019-05-16
2346,MANUELL BEHANDLING,2018-08-29
45,MANUELL BEHANDLING,2019-07-28
57,AVVIST,2018-01-22
46,AVVIST,2018-05-30
64,MANUELL BEHANDLING,2018-05-27
2639,MANUELL BEHANDLING,2018-09-25
12426,OK,2018-09-28
8933,OK,2018-09-20
14036,OK,2018-09-10
43,AVVIST,2018-09-25
43,AVVIST,2018-09-20
106,MANUELL BEHANDLING,2018-11-25
264,OK,2018-02-11
26,AVVIST,2019-07-24
287,OK,2018-05-21
2903,MANUELL BEHANDLING,2019-04-09
10876,OK,2019-04-12
154,OK,2018-09-08
53,AVVIST,2018-05-31
60,AVVIST,2019-03-11
2486,MANUELL BEHANDLING,2018-11-22
2478,MANUELL BEHANDLING,2018-11-16
44,AVVIST,2018-08-22
58,AVVIST,2018-10-23
2767,MANUELL BEHANDLING,2018-11-20
48,AVVIST,2018-11-06
46,AVVIST,2018-11-19
54,MANUELL BEHANDLING,2018-02-17
50,AVVIST,2018-02-21
295,OK,2018-01-14
5041,OK,2018-07-17
1531,MANUELL BEHANDLING,2018-07-16
55,AVVIST,2018-08-07
10949,OK,2018-11-02
8296,OK,2018-04-19
14689,OK,2018-04-16
11307,OK,2018-05-04
7885,OK,2019-08-26
10781,OK,2018-06-01
14452,OK,2018-05-14
1312,MANUELL BEHANDLING,2018-07-13
7691,OK,2018-07-16
19,AVVIST,2018-07-16
198,OK,2018-05-13
6319,OK,2018-08-08
1437,MANUELL BEHANDLING,2019-04-16
94,OK,2019-04-18
2858,MANUELL BEHANDLING,2019-02-08
1640,MANUELL BEHANDLING,2018-07-05
2819,MANUELL BEHANDLING,2018-04-23
52,MANUELL BEHANDLING,2018-05-12
26,MANUELL BEHANDLING,2019-05-17
1595,MANUELL BEHANDLING,2019-07-05
77,OK,2019-06-30
44,AVVIST,2019-04-02
45,AVVIST,2018-09-26
51,AVVIST,2019-03-29
279,OK,2018-11-04
46,MANUELL BEHANDLING,2019-06-15
32,AVVIST,2019-06-06
276,OK,2018-04-08
132,OK,2018-03-31
131,OK,2018-04-01
51,AVVIST,2018-05-09
58,MANUELL BEHANDLING,2018-02-03
54,AVVIST,2018-02-08
36,AVVIST,2018-06-07
82,MANUELL BEHANDLING,2018-06-03
51,AVVIST,2019-03-26
182,OK,2018-06-02
62,AVVIST,2018-04-26
34,AVVIST,2019-08-27
80,OK,2019-08-24
36,AVVIST,2019-08-13
73,MANUELL BEHANDLING,2019-02-09
213,OK,2019-07-07
1647,MANUELL BEHANDLING,2019-07-08
112,MANUELL BEHANDLING,2018-02-24
279,OK,2018-01-01
2,OK,2019-11-07
108,OK,2018-05-19
9872,OK,2018-11-23
44,AVVIST,2018-03-23
3125,OK,2019-09-12
34,AVVIST,2018-06-06
167,OK,2018-08-26
5411,OK,2019-06-28
8492,OK,2019-06-26
24,AVVIST,2019-06-28
63,MANUELL BEHANDLING,2018-08-18
51,MANUELL BEHANDLING,2018-12-08
181,OK,2018-10-07
16692,OK,2019-09-02
10194,OK,2019-09-03
2,AVVIST,2018-04-02
249,OK,2018-11-25
1802,MANUELL BEHANDLING,2019-08-21
1,OK,2019-10-04
63,MANUELL BEHANDLING,2019-03-23
6539,OK,2019-08-08
51,AVVIST,2019-08-08
8824,OK,2018-09-13
3233,MANUELL BEHANDLING,2018-05-02
1207,MANUELL BEHANDLING,2018-07-20
8779,OK,2018-09-21
26,AVVIST,2019-07-11
1,AVVIST,2019-05-05
9,AVVIST,2019-09-09
238,OK,2019-08-11
203,OK,2019-02-23
60,MANUELL BEHANDLING,2018-04-28
59,AVVIST,2018-05-02
10991,OK,2018-12-14
175,OK,2018-12-15
47,AVVIST,2018-04-24
51,MANUELL BEHANDLING,2019-09-08
337,OK,2018-12-02
44,AVVIST,2018-11-09
30,AVVIST,2019-08-07
49,AVVIST,2019-01-28
6000,OK,2019-08-02
1,OK,2019-02-17
2,AVVIST,2018-05-01
1,AVVIST,2018-05-27
2,OK,2019-11-25
150,OK,2019-07-06
1,AVVIST,2018-11-17
49,MANUELL BEHANDLING,2019-07-06
1,AVVIST,2018-09-22
1,OK,2019-11-28
1,AVVIST,2019-04-27
1,AVVIST,2019-01-12
85,AVVIST,2019-01-08
82,AVVIST,2019-01-07
4650,MANUELL BEHANDLING,2019-01-03
3427,MANUELL BEHANDLING,2018-02-19
3694,MANUELL BEHANDLING,2018-02-28
11850,OK,2018-02-15
3072,MANUELL BEHANDLING,2018-02-15
17101,OK,2018-03-19
3554,MANUELL BEHANDLING,2018-04-09
46,AVVIST,2018-03-27
22350,OK,2018-04-03
134,MANUELL BEHANDLING,2018-04-02
8714,OK,2018-06-15
2146,MANUELL BEHANDLING,2018-06-14
2680,MANUELL BEHANDLING,2018-06-11
8805,OK,2018-06-19
2557,MANUELL BEHANDLING,2018-06-18
227,OK,2018-06-17
212,OK,2018-06-24
10094,OK,2018-12-18
2895,MANUELL BEHANDLING,2018-12-18
57,AVVIST,2018-12-18
44,AVVIST,2018-12-21
16153,OK,2018-12-17
17891,OK,2019-02-18
10665,OK,2019-02-13
74,AVVIST,2018-02-28
225,OK,2018-03-18
2,AVVIST,2018-12-22
5378,OK,2018-12-27
35,MANUELL BEHANDLING,2018-12-25
1202,MANUELL BEHANDLING,2018-12-28
93,MANUELL BEHANDLING,2018-12-24
2860,MANUELL BEHANDLING,2018-03-09
79,AVVIST,2018-01-03
4499,MANUELL BEHANDLING,2018-01-03
78,AVVIST,2018-01-04
2513,MANUELL BEHANDLING,2019-01-23
3041,MANUELL BEHANDLING,2019-01-14
47,AVVIST,2018-06-11
54,AVVIST,2018-12-17
113,MANUELL BEHANDLING,2018-12-16
1463,MANUELL BEHANDLING,2019-07-16
4740,OK,2019-07-17
4839,OK,2019-07-18
40,AVVIST,2019-07-22
56,MANUELL BEHANDLING,2018-06-16
3,AVVIST,2018-06-16
4,AVVIST,2018-01-28
2769,MANUELL BEHANDLING,2019-03-14
11333,OK,2019-03-15
10926,OK,2019-03-12
19395,OK,2018-03-05
3608,MANUELL BEHANDLING,2018-03-05
35,AVVIST,2018-06-15
131,MANUELL BEHANDLING,2019-03-10
75,MANUELL BEHANDLING,2018-01-27
47,AVVIST,2018-02-01
61,AVVIST,2019-05-06
2979,MANUELL BEHANDLING,2019-05-03
10029,OK,2018-07-30
1986,MANUELL BEHANDLING,2018-07-30
4781,OK,2018-07-26
2861,MANUELL BEHANDLING,2019-05-20
42,AVVIST,2019-05-23
2166,MANUELL BEHANDLING,2018-08-23
2608,MANUELL BEHANDLING,2018-08-27
8785,OK,2018-08-21
2432,MANUELL BEHANDLING,2018-08-21
12256,OK,2018-11-01
2847,MANUELL BEHANDLING,2018-11-27
13161,OK,2018-11-29
2994,MANUELL BEHANDLING,2018-11-29
65,MANUELL BEHANDLING,2018-12-30
1326,MANUELL BEHANDLING,2019-07-24
1210,MANUELL BEHANDLING,2019-07-26
167,OK,2019-07-28
11793,OK,2018-02-13
70,MANUELL BEHANDLING,2018-07-22
50,AVVIST,2018-10-25
3384,MANUELL BEHANDLING,2019-03-18
11827,OK,2018-07-02
56,MANUELL BEHANDLING,2018-06-30
76,AVVIST,2018-01-30
31,AVVIST,2019-07-23
26,MANUELL BEHANDLING,2019-07-13
9800,OK,2019-05-14
61,AVVIST,2019-03-18
328,OK,2018-03-04
53,AVVIST,2018-03-05
48,MANUELL BEHANDLING,2018-03-03
3741,MANUELL BEHANDLING,2019-06-03
116,MANUELL BEHANDLING,2019-05-30
2934,MANUELL BEHANDLING,2019-05-28
425,OK,2019-06-02
2112,MANUELL BEHANDLING,2019-05-31
48,AVVIST,2018-08-13
46,AVVIST,2018-08-15
10543,OK,2018-12-06
37,AVVIST,2019-07-29
18,AVVIST,2019-09-06
8067,OK,2019-09-05
1,OK,2019-11-19
2889,MANUELL BEHANDLING,2018-12-11
37,AVVIST,2018-06-21
37,AVVIST,2018-06-22
3,OK,2019-10-29
35,AVVIST,2019-06-21
101,MANUELL BEHANDLING,2019-05-26
2856,MANUELL BEHANDLING,2018-01-17
10631,OK,2018-01-19
246,OK,2019-01-01
2829,MANUELL BEHANDLING,2018-02-07
63,AVVIST,2019-01-10
148,OK,2018-05-26
45,MANUELL BEHANDLING,2018-05-26
2842,MANUELL BEHANDLING,2018-05-28
557,MANUELL BEHANDLING,2018-11-10
42,AVVIST,2018-11-13
9689,OK,2018-11-14
31,AVVIST,2018-11-14
9371,OK,2018-11-08
2807,MANUELL BEHANDLING,2018-09-28
61,AVVIST,2018-09-28
2317,MANUELL BEHANDLING,2018-09-19
14904,OK,2018-09-24
48,AVVIST,2018-01-23
58,AVVIST,2018-01-24
69,AVVIST,2018-01-08
45,AVVIST,2018-12-11
2971,MANUELL BEHANDLING,2018-10-15
59,AVVIST,2018-04-10
8347,OK,2019-04-15
3084,MANUELL BEHANDLING,2019-04-08
142,MANUELL BEHANDLING,2019-06-10
305,OK,2019-06-10
9141,OK,2018-09-14
2253,MANUELL BEHANDLING,2018-09-14
3,AVVIST,2018-05-26
44,AVVIST,2019-03-08
10986,OK,2019-03-26
10751,OK,2018-03-22
2160,MANUELL BEHANDLING,2018-10-12
10298,OK,2018-11-20
16410,OK,2018-11-05
180,OK,2018-03-24
3240,MANUELL BEHANDLING,2018-01-15
92,MANUELL BEHANDLING,2018-10-28
12470,OK,2019-03-28
2637,MANUELL BEHANDLING,2019-03-27
53,AVVIST,2018-04-16
39,AVVIST,2018-04-12
30,AVVIST,2019-08-15
1584,MANUELL BEHANDLING,2019-08-23
20,AVVIST,2019-08-16
2907,MANUELL BEHANDLING,2018-05-23
1518,MANUELL BEHANDLING,2018-07-10
5009,OK,2018-07-12
63,AVVIST,2018-05-14
70,AVVIST,2018-04-05
51,AVVIST,2018-09-18
712,MANUELL BEHANDLING,2019-04-17
2485,OK,2019-04-17
3051,MANUELL BEHANDLING,2019-02-07
1518,MANUELL BEHANDLING,2018-07-06
6439,OK,2019-07-05
2232,MANUELL BEHANDLING,2019-06-25
22,MANUELL BEHANDLING,2019-06-30
18699,OK,2019-02-11
20320,OK,2019-02-04
3809,MANUELL BEHANDLING,2019-02-04
80,AVVIST,2019-02-04
2769,MANUELL BEHANDLING,2019-04-02
2927,MANUELL BEHANDLING,2019-03-29
60,AVVIST,2018-02-07
37,AVVIST,2018-01-11
67,AVVIST,2019-06-14
9554,OK,2019-02-22
8,AVVIST,2019-02-10
65,AVVIST,2019-02-11
215,OK,2018-04-07
8219,OK,2018-07-09
39,AVVIST,2018-04-20
3085,MANUELL BEHANDLING,2018-02-08
11427,OK,2018-02-09
7860,OK,2018-06-13
74,MANUELL BEHANDLING,2018-12-01
143,OK,2018-07-14
61,MANUELL BEHANDLING,2018-05-05
9554,OK,2018-04-17
41,AVVIST,2018-04-25
1,AVVIST,2018-01-13
83,AVVIST,2018-10-01
38,AVVIST,2019-08-14
28,MANUELL BEHANDLING,2019-08-24
172,OK,2018-07-08
37,AVVIST,2019-05-24
43,AVVIST,2019-02-21
245,OK,2019-01-05
630,MANUELL BEHANDLING,2019-07-02
2276,MANUELL BEHANDLING,2018-02-23
9819,OK,2019-08-29
51,AVVIST,2019-08-29
2440,MANUELL BEHANDLING,2019-08-29
48,AVVIST,2019-02-05
60,MANUELL BEHANDLING,2018-10-13
52,AVVIST,2018-08-20
58,MANUELL BEHANDLING,2019-04-19
54,AVVIST,2018-11-07
48,MANUELL BEHANDLING,2018-08-25
43,MANUELL BEHANDLING,2019-09-13
56,AVVIST,2018-06-14
5,AVVIST,2019-02-09
11059,OK,2018-12-07
2,AVVIST,2018-08-19
6,AVVIST,2019-05-01
4,AVVIST,2019-03-24
3,MANUELL BEHANDLING,2019-09-18
62,AVVIST,2018-04-17
48,AVVIST,2018-11-27
3009,MANUELL BEHANDLING,2019-02-27
118,OK,2018-10-27
3015,MANUELL BEHANDLING,2019-09-02
1,AVVIST,2018-04-08
2,AVVIST,2019-01-13
47,MANUELL BEHANDLING,2018-06-09
4,AVVIST,2018-11-25
57,MANUELL BEHANDLING,2018-11-24
7665,OK,2019-08-20
3534,MANUELL BEHANDLING,2019-02-25
222,OK,2019-03-23
33,AVVIST,2018-08-03
81,AVVIST,2018-09-03
815,MANUELL BEHANDLING,2019-09-10
1066,MANUELL BEHANDLING,2019-09-09
17,AVVIST,2019-09-11
145,OK,2018-04-29
166,MANUELL BEHANDLING,2018-05-01
2124,MANUELL BEHANDLING,2018-09-21
5196,OK,2019-07-10
323,OK,2019-04-22
55,MANUELL BEHANDLING,2019-08-10
9937,OK,2018-12-13
3,AVVIST,2019-06-23
67,MANUELL BEHANDLING,2018-09-29
52,AVVIST,2018-04-27
78,AVVIST,2019-02-25
68,MANUELL BEHANDLING,2018-12-15
1,AVVIST,2018-12-26
2,AVVIST,2019-05-17
22,AVVIST,2018-07-20
4,AVVIST,2018-10-21
165,OK,2018-10-20
